,cord_uid,sha,source_x,title,doi,pmcid,pubmed_id,license,abstract,publish_time,authors,journal,Microsoft Academic Paper ID,WHO #Covidence,has_full_text,full_text_file,url
802,901m6zw0,397bb0bda9dfe7504abf8ba98bf628e3368f9329,medrxiv,Spatial Visualization of Cluster-Specific COVID-19 Transmission Network in South Korea During the Early Epidemic Phase,10.1101/2020.03.18.20038638,,,medrvix,"Coronavirus disease 2019 (COVID-19) has been rapidly spreading throughout China and other countries including South Korea. As of March 12, 2020, a total number of 7,869 cases and 66 deaths had been documented in South Korea. Although the first confirmed case in South Korea was identified on January 20, 2020, the number of confirmed cases showed a rapid growth on February 19, 2020 with a total number of 1,261 cases with 12 deaths based on the Korea Centers for Disease Control and Prevention (KCDC). Using the data of confirmed cases of COVID-19 in South Korea that are publicly available from the KCDC, this paper aims to create spatial visualizations of COVID-19 transmission between January 20, 2020 and February 19, 2020. Compared to various epidemiological measures such as the basic reproduction number, spatial visualizations of the cluster-specific transmission networks may be more useful to characterize super-spreaders and the spread of the virus especially in the early epidemic phase.",3/20/20,James Yeongjun Park,,,,TRUE,biorxiv_medrxiv,https://doi.org/10.1101/2020.03.18.20038638
1771,fbwpw3jc,,WHO,Visualising the expansion and spread of coronavirus disease 2019 by cartograms,10.1177/0308518x20910162,,,unk,"Coronavirus disease 2019 (COVID-19) has emerged as a growing focus of global attention and a critical factor in public-health decision making. Towards fighting the COVID-19 outbreak, countries worldwide and international organisations have taken various actions, including promoting the transparency of and public access to disease data. In such public communications, maps have played an important role in that a map is worth a thousand words. Most of these have taken the form of a choropleth map. Here, we propose employing cartograms to visualise both the expansion and spread of COVID-19. We designed a combination of six circular cartograms containing the data of confirmed cases every 48 hours from 24 January to 3 February 2020. Such a design conveys both spatial and temporal information more intuitively and efficiently, so it can be expected to facilitate better public participation in the fight against COVID-19.",2/26/20,"Gao, Peichao; Zhang, Hong; Wu, Zhiwei; Wang, Jicheng",Environment and Planning A: Economy and Space,3006007867,#2287,FALSE,,https://doi.org/10.1177/0308518x20910162
786,tg5wbwf9,edc4eb3c1259234cb996e7d6cb544ba3d209bab4,medrxiv,Investigating the Impact of Asymptomatic Carriers on COVID-19 Transmission,10.1101/2020.03.18.20037994,,,medrvix,"Coronavirus disease 2019 (COVID-19) is a novel human respiratory disease caused by the SARS-CoV-2 virus. Asymptomatic individuals in the context of COVID-19 are those subjects who are carriers of the virus but display no clinical symptoms. Current evidence reveals that this sub-population is a major contributing factor in the propagation of this disease, while escaping detection by public health surveillance systems. In this manuscript, we present a mathematical model taking into account asymptomatic carriers. Our results indicate a basic reproduction number as high as 26.5. The first three weeks of the model exhibit exponential growth, which is in agreement with average case data collected from thirteen countries with universal health care and robust communicable disease surveillance systems; the average rate of growth in the number of reported cases is 25\% per day during this period. The model was applied to every county in the US to give estimates of mild, severe, and critical case severity, and also mortality. These estimates can be considered an upper bound.",3/20/20,Jacob B Aguilar; Juan B. Gutierrez,,,,TRUE,biorxiv_medrxiv,https://doi.org/10.1101/2020.03.18.20037994
663,pkg4rxni,9da357734a3bfc5b51dc2c63b6b4ab28930767ab,medrxiv,"Immunopathological characteristics of coronavirus disease 2019 cases in Guangzhou, China",10.1101/2020.03.12.20034736,,,medrvix,"Coronavirus disease 2019 (COVID-19) is a respiratory disorder caused by the highly contagious SARS-CoV-2. The immunopathological characteristics of COVID-19 patients, either systemic or local, have not been thoroughly studied. In the present study, we analyzed both the changes in the cellularity of various immune cell types as well as cytokines important for immune reactions and inflammation. Our data indicate that patients with severe COVID-19 exhibited an overall decline of lymphocytes including CD4+ and CD8+ T cells, B cells, and NK cells. The number of immunosuppressive regulatory T cells was moderately increased in patients with mild COVID-19. IL-2, IL-6, and IL-10 were remarkably up-regulated in patients with severe COVID-19. The levels of IL-2 and IL-6 relative to the length of hospital stay underwent a similar ""rise-decline"" pattern, probably reflecting the therapeutic effect. In conclusion, our study shows that the comprehensive decrease of lymphocytes, and the elevation of IL-2 and IL-6 are reliable indicators of severe COVID-19.",3/16/20,Yaling Shi; Mingkai Tan; Xing Chen; Yanxia Liu; Jide Huang; Jingyi Ou; Xilong Deng,,,,TRUE,biorxiv_medrxiv,https://doi.org/10.1101/2020.03.12.20034736
1965,g23cr5vf,,WHO,Which sampling method for the upper respiratory tract specimen should be taken to diagnose patient with COVID-19?,10.3760/cma.j.cn115330-20200223-00116,,,unk,"Coronavirus disease 2019 (COVID-19) is raging in China, especially in Hubei Province, which has resulted great dangers in people's life and national economy. According to the guidelines drafted by China's Center for Disease prevention and Control (CDC), the positive nucleic acid test is need to the diagnosis of patient with COVID-19. Upper respiratory tract specimens are the main sources for nucleic acid detection. However, based on international guidelines of COVID-19 , no recommended level of upper respiratory tract sampling method is proposed. Therefore, which kind of sampling methods should be chosen to help the COVID-19 diagnosis and which way is the most secure for doctors and nurses is our concern. In this review, we analyzed a total of 10 literatures on the sampling methods of upper respiratory tract related to infectious diseases such as severe acute respiratory syndrome coronavirus (SARS), middle east respiratory syndrome coronavirus (MERS), and influenza A (H1N1), which were spread worldwide in past years. Literatures were collected from the three dimensions of sampling method, sampling time, and sampling safety. It was found that among all the upper respiratory sampling methods, nasopharyngeal aspirate (NPA) had a higher positive rate within 2 weeks of symptom onset, while combined nasal and oropharyngeal swabs (NS + OPS) was the least harmful to medical staff during sampling. We wish this review is helpful for the prevention of COVID-19.",2020,"Ye, B.; Fan, C.; Pan, Y.; Ding, R.; Hu, H. X.; Xiang, M. L.",Zhonghua er bi yan hou tou jing wai ke za zhi = Chinese journal of otorhinolaryngology head and neck surgery,,#8534,FALSE,,https://doi.org/10.3760/cma.j.cn115330-20200223-00116
1832,bzwxt9bq,,WHO,Expert Recommendations for Tracheal Intubation in Critically ill Patients with Noval Coronavirus Disease 2019,10.24920/003724,,32102726,unk,"Coronavirus Disease 2019 (COVID-19), caused by a novel coronavirus (SARS-CoV-2), is a highly contagious disease. It firstly appeared in Wuhan, Hubei province of China in December 2019. During the next two months, it moved rapidly throughout China and spread to multiple countries through infected persons travelling by air. Most of the infected patients have mild symptoms including fever, fatigue and cough. But in severe cases, patients can progress rapidly and develop to the acute respiratory distress syndrome, septic shock, metabolic acidosis and coagulopathy. The new coronavirus was reported to spread via droplets, contact and natural aerosols from human-to-human. Therefore, high-risk aerosol-producing procedures such as endotracheal intubation may put the anesthesiologists at high risk of nosocomial infections. In fact, SARS-CoV-2 infection of anesthesiologists after endotracheal intubation for confirmed COVID-19 patients have been reported in hospitals in Wuhan. The expert panel of airway management in Chinese Society of Anaesthesiology has deliberated and drafted this recommendation, by which we hope to guide the performance of endotracheal intubation by frontline anesthesiologists and critical care physicians. During the airway management, enhanced droplet/airborne PPE should be applied to the health care providers. A good airway assessment before airway intervention is of vital importance. For patients with normal airway, awake intubation should be avoided and modified rapid sequence induction is strongly recommended. Sufficient muscle relaxant should be assured before intubation. For patients with difficult airway, good preparation of airway devices and detailed intubation plans should be made.",1/1/20,"Zuo, M. Z.; Huang, Y. G.; Ma, W. H.; Xue, Z. G.; Zhang, J. Q.; Gong, Y. H.; Che, L.",cmsj,2017345465,#3041,FALSE,,https://doi.org/10.24920/003724
2120,0xqhpqm4,,WHO,Serial interval in determining the estimation of reproduction number of the novel coronavirus disease (COVID-19) during the early outbreak | Journal of Travel Medicine | Oxford Academic,,,,unk,"Coronavirus disease 2019 (COVID-19), caused by the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), emerged in Wuhan, China in the end of 2019, and soon spread oversea. A comprehensive and timely review summarized the scientific research in estimating the basic reproduction number (R0) released from 1 January to 7 February 2020 [1]. During the early outbreak, when the key epidemiological features of COVID-19 were uncovered, the R0 estimation largely relied on the growth rate of the epidemic curve and the estimation of the serial interval (SI). Here, we demonstrated that an overlarge SI would lead to overestimation of R0. We adopted the growing process proposed in [2] deterministically with a population of 11 million in Wuhan, 1 case initially onset on 5 December 2019 and a fixed step at 1 day. We consider two values of the mean serial interval (SI) that are  SI at 4.6 days estimated based on 28 records of transmission chains [3], which was largely consistent with the SI estimate at 4.4 days based on 71 records [4]; and  SI at 8 days, which was closer to the SI of the severe acute respiratory syndrome (SARS, 8.4 days), SI of the Middle East respiratory syndrome (MERS, 7.6 days). As for demonstration that a larger SI could lead to overestimation in R0, we conducted the simulation with two schemes that are  Scheme (I): R0 = 2, and SI = 4.6 days; and  Scheme (II): R0 = 2, 3, 4 and 3.3 as summarized in [1], and SI = 8 days. We also compared the simulation results with the previous estimates of the cumulative number of COVID-19 infection in Wuhan. In Fig 1, the simulation results of the scheme (I) had almost the same growing trends as those of scheme (II) with R0 = 3.3. Although a higher R0 could force the epidemic curve increasing rapidly, a shorter SI could increase iteration of transmission generation, i.e., transmission may occur shortly post infection. According to the simple approximated formula that R0 = exp(γ∙SI), where γ was the exponential growth rate calculated from the incidence data directly, a longer SI would lead to a higher R0 estimate theoretically. With a shorter SI at 4.6 days, which was supported by richer datasets in [3, 4], the R0 of COVID-19 could be lower than previous estimates based on longer SI. By using the growth rate (γ) at 0.15 per day, the R0 was found at 2.0 with SI at 4.6 days, whereas 3.3 with SI at 8 days. Although the effects of public health control were ignored in this analysis, our model could be Downloaded from https://academic.oup.com/jtm/advance-article-abstract/doi/10.1093/jtm/taaa033/5803291 by guest on 13 March 2020 4 extended by introducing an effective reproduction number accounting for the effectiveness of the control measures, and we remarked this modification would not affect the main conclusion. Furthermore, as pointed out in [3], provided that the SI of COVID-19 might be shorter than its incubation period, pre-symptomatic transmission may occur shortly after being infected [5]. This implies that a fraction of transmissions cannot be prevented solely through isolating the symptomatic cases, since the time when contact tracing is conducted, they may have already been infectious and generated secondary cases. Therefore, the effectively quarantine of suspected (and probable) cases, as well as close contacts, and timely contact tracing were crucial in successful outbreak mitigation.",,"Shi Zhao, MPhil Peihua Cao PhD Daozhou Gao PhD Zian Zhuang Bsc Yongli Cai PhD Jinjun Ran MPhil Marc K. C. Chong PhD Kai Wang PhD Yijun Lou PhD Weiming Wang PhD Lin Yang PhD Daihai He PhD Maggie H. Wang PhD",Journal of Travel Medicine,,#7943,FALSE,,
1507,e36mlout,,WHO,"Coronavirus nixes conference, twilight zone beckons and a faded star brightens",10.1038/d41586-020-00589-1,,,unk,"Coronavirus enters dangerous new phase The new coronavirus has spread to more than 70 nations and the total number of infections worldwide had passed 90,000 as Nature went to press (see ‘Rapid spread’). Researchers have warned that the surge in outbreaks outside China, where the virus emerged and most cases have occurred, means that the coronavirus is becoming unstoppable. The World Health Organization has resisted describing the situation as a pandemic. Director-general Tedros Adhanom Ghebreyesus said on 2 March that there was still a chance of containing the virus. Mike Ryan, director of the WHO’s emergencies programme, said that using the word pandemic would mean that efforts to contain and slow the spread of the virus have failed, which has proved untrue in China, Singapore and other regions. But other scientists say the surge in international cases marks a tipping point. “I think the epidemiological conditions for a pandemic are met,” says Marc Lipsitch, an infectious-disease epidemiologist at the Harvard T.H. Chan School of Public Health in Boston, Massachusetts. He and others say that although containment measures seem to have kept outbreaks from escalating outside China for more than a month, such procedures might soon become unfeasible on a broader scale. Those efforts have involved quickly identifying infected people and their close contacts, and isolating them to prevent further transmission. “We’ve got to think more carefully about what measures might be sustainable in terms of reducing transmission without shutting down cities completely and stopping people from moving,” says Ben Cowling, an infectious-disease epidemiologist at the University of Hong Kong. The efforts include ‘social distancing’, which reduces the average chances that uninfected people will encounter an infected person. But some epidemiologists say too little is known about the outbreak to deploy this effectively.",3/1/20,Nature,Nature,2281645967,#4920,FALSE,,https://doi.org/10.1038/d41586-020-00589-1
821,lioj0tkn,3f659542438aaa6eec647cd31b6123c31e8f1c0e,medrxiv,A framework for identifying regional outbreak and spread of COVID-19 from one-minute population-wide surveys,10.1101/2020.03.19.20038844,,,medrvix,"Coronavirus infection spreads in clusters and therefore early identification of these clusters is critical for slowing down the spread of the virus. Here, we propose that daily population-wide surveys that assess the development of symptoms caused by the virus could serve as a strategic and valuable tool for identifying such clusters to inform epidemiologists, public health officials, and policy makers. We show preliminary results from a survey of over 38,000 Israelis and call for an international consortium to extend this concept in order to develop predictive models. We expect such data to allow: Faster detection of spreading zones and patients; Obtaining a current snapshot of the number of people in each area who have developed symptoms; Predicting future spreading zones several days before an outbreak occurs; Evaluating the effectiveness of the various social distancing measures taken, and their contribution to reduce the number of symptomatic people. Such information can provide a valuable tool for decision makers to decide which areas need strengthening of social distancing measures and which areas can be relieved. Researchers from the U.S, Spain, and Italy have adopted our approach and we are collaborating to further improve it. We call with urgency for other countries to join this international consortium, and to share methods and data collected from these daily, simple, one-minute surveys.",3/20/20,Hagai Rossman; Ayya Keshet; Smadar Shilo; Amir Gavrieli; Tal Bauman; Ori Cohen; Ran Balicer; Benjamin Geiger; Yuval Dor; Eran Segal,,,,TRUE,biorxiv_medrxiv,https://doi.org/10.1101/2020.03.19.20038844
2121,az1puj81,,WHO,COVID-19 Update – March 2020,,,,unk,"Coronavirus testing, mortality, vaccine development, containment vs mitigation, and more. Anthony S. Fauci, MD discusses the latest developments in the global spread of COVID-19 and the SARS-CoV-2 virus with JAMA Editor Howard Bauchner, MD. - What's the difference between COVID-19 and SARS-CoV-2? (01:15) - What's the status and accuracy of diagnostic testing in the US? (01:58) - What's the case-fatality rate for the virus? (05:31) - Scientific advances and vaccine development (25:06) - Are current clinical trials providing a picture of treatments? (13:41) - Risk communication: how do we present information so there's faith that it's accurate? (15:24) - Risk groups (children, the elderly, pregnant women) (16:26) - Containment vs mitigation vs quarantine vs isolation (19:10) - Protecting the elderly and nursing home resident (23:52) - Public health prospects in Latin America, Africa (26:35) - Will coronavirus wane in warmer months like influenza? (27:52) - Why is anxiety so high about this disease?- Does the US have capacity to care for COVID19 infection? (31:03) - What is your daily schedule like? (32:23)",2020,"Learning, JAMA JN",COVID-19 Update,,#5665,FALSE,,
2122,nror02j6,,WHO,COVID-19 Update – March 2020 | Global Health | JN Learning | JAMA Ed Hub [Video recording],,,,unk,"Coronavirus testing, mortality, vaccine development, containment vs mitigation, and more. Anthony S. Fauci, MD discusses the latest developments in the global spread of COVID-19 and the SARS-CoV-2 virus with JAMA Editor Howard Bauchner, MD. - What's the difference between COVID-19 and SARS-CoV-2? (01:15) - What's the status and accuracy of diagnostic testing in the US? (01:58) - What's the case-fatality rate for the virus? (05:31) - Scientific advances and vaccine development (25:06) - Are current clinical trials providing a picture of treatments? (13:41) - Risk communication: how do we present information so there's faith that it's accurate? (15:24) - Risk groups (children, the elderly, pregnant women) (16:26) - Containment vs mitigation vs quarantine vs isolation (19:10) - Protecting the elderly and nursing home resident (23:52) - Public health prospects in Latin America, Africa (26:35) - Will coronavirus wane in warmer months like influenza? (27:52) - Why is anxiety so high about this disease?- Does the US have capacity to care for COVID19 infection? (31:03) - What is your daily schedule like? (32:23)",2020,JAMA,,,#4744,FALSE,,
1829,0lsniwyv,,WHO,Mast cells contribute to coronavirus-induced inflammation: new anti-inflammatory strategy,10.23812/20-editorial-kritas,,32013309,unk,"Coronavirus, which can cause respiratory syndrome, to date has affected over seventeen thousand individuals, especially in China. Coronavirus is interspecies and can also be transmitted from man to man, with an incubation ranging from 1 to 14 days. Human coronavirus infections can induce not only mild to severe respiratory diseases, but also inflammation, high fever, cough, acute respiratory tract infection and dysfunction of internal organs that may lead to death. Coronavirus infection (regardless of the various types of corona virus) is primarily attacked by immune cells including mast cells (MCs), which are located in the submucosa of the respiratory tract and in the nasal cavity and represent a barrier of protection against microorganisms. Virus activate MCs which release early inflammatory chemical compounds including histamine and protease; while late activation provokes the generation of pro-inflammatory IL-1 family members including IL-1 and IL-33. Here, we propose for the first time that inflammation by coronavirus may be inhibited by anti-inflammatory cytokines belonging to the IL-1 family members.",2020,"Kritas, S. K.; Ronconi, G.; Caraffa, Al; Gallenga, C. E.; Ross, R.; Conti, P.",Journal of biological regulators and homeostatic agents,2119445255,#3716,FALSE,,https://doi.org/10.23812/20-editorial-kritas
1686,o8zh8nl1,,WHO,Surveillance and Taxonomic Analysis of the Coronavirus Dominant in Pigeons in China,10.1111/tbed.13541,,,unk,"Coronaviruses (CoVs) are found in humans and a wide variety of wild and domestic animals, and of substantial impact on human and animal health. In poultry, the genetic diversity, evolution, distribution, and taxonomy of CoVs dominant in birds other than chickens remain enigmatic. In our previous study, we proposed that the CoVs dominant (i.e., mainly circulating) in ducks (DdCoVs) should represent a novel species, which was different from the one represented by the CoVs dominant in chickens (CdCoVs). In this study, we conducted a large-scale surveillance of CoVs in chickens, ducks, geese, pigeons and other birds (quails, sparrows and partridges) using a conserved RT-PCR assay. The surveillance demonstrated that CdCoVs, DdCoVs and the CoVs dominant in pigeons (PdCoVs) belong to different lineages, and they are all prevalent in live poultry markets and the backyard flocks in some regions of China. We further sequenced seven Coronaviridae-wide conserved domains in their replicase polyprotein pp1ab of seven PdCoVs, and found that the genetic distances in these domains between PdCoVs and DdCoVs or CdCoVs are large enough to separate PdCoVs into a novel species, which were different from the ones represented by DdCoVs or CdCoVs within the genus Gammacoronavirus, per the species demarcation criterion of International Committee on Taxonomy of Viruses. This report shed novel insight into the genetic diversity, distribution, evolution, and taxonomy of avian CoVs.",3/12/20,"Zhuang, Qingye; Liu, Shuo; Zhang, Xiaochun; Jiang, Wenming; Wang, Kaicheng; Wang, Suchun; Peng, Cheng; Hou, Guangyu; Li, Jinping; Yu, Xiaohui; Yuan, Liping; Wang, Jingjing; Li, Yang; Liu, Hualei; Chen, Jiming",Transboundary and Emerging Diseases,,#8319,FALSE,,https://doi.org/10.1111/tbed.13541
1882,m2c5bvuj,,WHO,Insights into the Recent 2019 Novel Coronavirus (SARS-CoV-2) in Light of Past Human Coronavirus Outbreaks,10.3390/pathogens9030186,,32143502,unk,"Coronaviruses (CoVs) are RNA viruses that have become a major public health concern since the Severe Acute Respiratory Syndrome-CoV (SARS-CoV) outbreak in 2002. The continuous evolution of coronaviruses was further highlighted with the emergence of the Middle East Respiratory Syndrome-CoV (MERS-CoV) outbreak in 2012. Currently, the world is concerned about the 2019 novel CoV (SARS-CoV-2) that was initially identified in the city of Wuhan, China in December 2019. Patients presented with severe viral pneumonia and respiratory illness. The number of cases has been mounting since then. As of late February 2020, tens of thousands of cases and several thousand deaths have been reported in China alone, in addition to thousands of cases in other countries. Although the fatality rate of SARS-CoV-2 is currently lower than SARS-CoV, the virus seems to be highly contagious based on the number of infected cases to date. In this review, we discuss structure, genome organization, entry of CoVs into target cells, and provide insights into past and present outbreaks. The future of human CoV outbreaks will not only depend on how the viruses will evolve, but will also depend on how we develop efficient prevention and treatment strategies to deal with this continuous threat.",3/4/20,"Ashour, M. Hossam; Elkhatib, F. Walid; Rahman, M. Md; Elshabrawy, A. Hatem",Pathogens,3006050861,#3521,FALSE,,https://doi.org/10.3390/pathogens9030186
1620,a5x8bmfr,,WHO,"The New Coronavirus, the Current King of China",10.1093/jpids/piaa018,,,unk,"Coronaviruses are respiratory viruses whose appearance on electron microscopy looks like tiny crowns (Figure 1). The first coronaviruses discovered were the cause of pediatric and adult respiratory infections that were not particularly dangerous. One study from Vanderbilt found coronavirus in about 5% of samples from upper respiratory illness and 8% from lower respiratory illness [1]. Most clinically significant coronavirus infections have been found in children &lt; 2 years of age, as reviewed in this journal in 2009 [2], although adults also might suffer severe infections [3, 4]. This was the picture as late as 2018: a group of respiratory viruses that could cause serious illness in the very young, but with negligible mortality [5, 6].",2/21/20,"Plotkin, Stanley A.",Journal of the Pediatric Infectious Diseases Society,3001897055,#1519,FALSE,,https://doi.org/10.1093/jpids/piaa018
1302,op98hkh9,,WHO,"Air, Surface Environmental, and Personal Protective Equipment Contamination by Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) From a Symptomatic Patient",10.1001/jama.2020.3227,,,unk,"Coronaviruses have been implicated in nosocomial outbreaks with environmental contamination as a route of transmission. Similarly, nosocomial transmission of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) has been reported. However, the mode of transmission and extent of environmental contamination are unknown.",3/4/20,"Ong, Sean Wei Xiang; Tan, Yian Kim; Chia, Po Ying; Lee, Tau Hong; Ng, Oon Tek; Wong, Michelle Su Yen; Marimuthu, Kalisvar",JAMA,2968894028,#3868,FALSE,,https://doi.org/10.1001/jama.2020.3227
1445,0g0datwo,,WHO,Clinical features of pediatric patients with COVID-19: a report of two family cluster cases,10.1007/s12519-020-00356-2,,,unk,"Coronovirus disease 2019 (COVID-19) has spread rapidly across the globe. People of all ages are susceptible to COVID-19. However, literature reports on pediatric patients are limited. To improve the recognition of COVID-19 infection in children, we retrospectively reviewed two confirmed pediatric cases from two family clusters. Both clinical features and laboratory examination results of the children and their family members were described. The two confirmed children only presented with mild respiratory or gastrointestinal symptoms. Both of them had normal chest CT images. After general and symptomatic treatments, both children recovered quickly. Both families had travel histories to Hubei Province. Pediatric patients with COVID-19 are mostly owing to family cluster or with a close contact history. Infected children have relatively milder clinical symptoms than infected adults. We should attach importance to early recognition, early diagnosis, and early treatment of infected children.",3/16/20,"Ji, Li-Na; Chao, Shuang; Wang, Yue-Jiao; Li, Xue-Jun; Mu, Xiang-Dong; Lin, Ming-Gui; Jiang, Rong-Meng",World Journal of Pediatrics,,#8764,FALSE,,https://doi.org/10.1007/s12519-020-00356-2
2123,hjqotwtn,,WHO,"Coronavirus latest: global infections pass 100,000",,,,unk,CORRECTION 31 JANUARY 2020 Updates on the respiratory illness that has infected tens of thousands of people and killed several thousand.,2020,,,,#6644,FALSE,,
723,fb8mca1h,65ed294672533d6734d1c0d66b1c987101a42fcf,medrxiv,Estimating unobserved SARS-CoV-2 infections in the United States,10.1101/2020.03.15.20036582,,,medrvix,"Countries across the world observed dramatic rises in COVID-19 cases and deaths in March 2020. In the United States, delays in the availability of diagnostic testing have prompted questions about the extent of unobserved community transmission. Using a simulation model informed by reported cases and deaths, we estimated that tens of thousands of people (median: ​22,876, 95% posterior predictive interval: 7,451 - 53,044) were infected by the time a national emergency was declared. Our results also indicate that fewer than 10% of locally acquired, symptomatic infections in the US were detected throughout much of late February. These results point to the need for immediate, large-scale efforts to mitigate the impacts of SARS-CoV-2 on the US.",3/18/20,Alex Perkins; Sean M. Cavany; Sean M Moore; Rachel J Oidtman; Anita Lerch; Marya Poterek,,,,TRUE,biorxiv_medrxiv,https://doi.org/10.1101/2020.03.15.20036582
1830,4gze6w35,,WHO,Induction of pro-inflammatory cytokines (IL-1 and IL-6) and lung inflammation by COVID-19: anti-inflammatory strategies,10.23812/conti-e.,,,unk,"COVID-19 (coronavirus disease-19) involves humans as well as animals and may cause serious damage to the respiratory tract including the lung. This pathogenic virus has been identified in swabs performed on the throat and nose of patients who suffer from or are suspected of the disease. When COVID-19 infect the upper and lower respiratory tract it can cause mild or highly acute respiratory syndrome with consequent release of pro-inflammatory cytokines, including interleukin (IL)-1b and IL-6. The binding of COVID-19 to the Toll Like Receptor (TLR) causes the release of pro-IL-1b which is cleaved by caspase-1, followed by inflammasome activation and production of active mature IL-1b which is a mediator of lung inflammation, fever and fibrosis. Suppression of pro-inflammatory IL-1 family members and IL-6 have been shown to have a therapeutic effect in many inflammatory diseases, including viral infections. Cytokine IL-37 has the ability to suppress innate and acquired immune response and also has the capacity to inhibit inflammation by acting on IL-18Ra receptor. IL-37 performs its immunosuppressive activity by acting on mTOR and increasing the adenosine monophosphate (AMP) kinase. This cytokine inhibits class II histocompatibility complex (MHC) molecules and inflammation in inflammatory diseases by suppressing MyD88 and subsequently IL-1β, IL-6, TNF and CCL2. The suppression of IL-1b by IL-37 in inflammatory state induced by COVID-19 can have a new therapeutic effect previously unknown. Another inhibitory cytokine is IL-38, the newest cytokine of the IL-1 family members, produced by several immune cells including B cells and macrophages. IL-38 is also a suppressor cytokine which inhibits IL-1b and other pro-inflammatory IL-family members. IL-38 is a potential therapeutic cytokine which inhibits inflammation in viral infections including that caused by COVID-19, providing a new relevant strategy.",2020,"Conti, P.; Ronconi, G.; Caraffa, A.; Gallenga, C.; Ross, R.; Frydas, I.; Kritas, S.",Journal of biological regulators and homeostatic agents,,#8366,FALSE,,https://doi.org/10.23812/conti-e.
240,nqxo3f45,8b71ce92ec03e066eca7792bfd17e2f210d50ce3,medrxiv,"Optimizing diagnostic strategy for novel coronavirus pneumonia, a multi-center study in Eastern China",10.1101/2020.02.13.20022673,,,medrvix,"COVID-19 caused by a novel coronavirus SARS-CoV-2 emerged in Wuhan, Hubei province since December 2019, and caused a rapid outbreak throughout China and globally. Cities outside Hubei are also facing great challenge and require implementing of effective and feasible strategy in precision diagnosing novel coronavirus pneumonia (NCP). We described a multicenter prospective study on diagnostic strategy of suspected NCP patients from January 22nd to February 9th, 2020 in Eastern China cities. Nasopharyngeal swabs were collected from the patients. The epidemiological characteristics, clinical symptoms, laboratory assessments, and computed tomographic (CT) scans were obtained. Pathogen screen were performed including RT-PCR, multiplex PCR, rapid flu antigen tests and mNGS. We enrolled 53 suspected NCP patients, among whom 20 were laboratory-confirmed. Fourteen (70%) and 3 (15%) patients were positive for the first and second SARS-CoV-2 RT-PCR test, respectively. All NCP patients were positive for mNGS. Chest CT images and the symptoms of early stage NCP patients were similar to other viral pneumonia patients. We identified 11 of 20 co-infections in NCP cases, including regular respiratory virus, fungi and bacteria synchronously. Genomic analysis showed that 8 of 10 cases had no mutation in virus genome, while 2 cases had only one single mutation in N gene. Our study discovered that a combination of chest CT, SARS-CoV-2 RT-PCR and multi-plex PCR is recommended in regions outside Hubei province. Co-infection of other pathogens with SARS-CoV-2 exists and should be acknowledged. Repeated sampling, change of specimen type or metagenomics sequencing could further facilitate during critical clinical cases.",2/17/20,Jing-Wen Ai; Hao-Cheng Zhang; Teng Xu; Jing Wu; Mengqi Zhu; Yi-Qi Yu; Han-Yue Zhang; Zhongliang Shen; Yang Li; Xian Zhou; Guo-Qing Zang; Jie Xu; Wen-Jing Chen; Yong-Jun Li; De-Sheng Xie; Ming-Zhe Zhou; Jing-Ying Sun; Jia-Zhen Chen; Wen-Hong Zhang,,,,TRUE,biorxiv_medrxiv,https://doi.org/10.1101/2020.02.13.20022673
170,vpouyyev,5f6a410a4ba086b296100a8a5a10df59eb337c90,medrxiv,Epidemic doubling time of the COVID-19 epidemic by Chinese province,10.1101/2020.02.05.20020750,,,medrvix,"COVID-19 epidemic doubling time by Chinese province was increasing from January 20 through February 9, 2020. Yet, the harmonic mean doubling time was relatively short, ranging from 1.4 (Hunan, 95% CI, 1.2-2.0) to 3.0 (Xinjiang, 95% CI, 2.0-4.9) days, with an estimate of 2.5 days (95% CI, 2.4-2.7) for Hubei.",2/6/20,Kamalich Muniz-Rodriguez; Gerardo Chowell; Chi-Hin Cheung; Dongyu Jia; Po-Ying Lai; Yiseul Lee; Manyun Liu; Sylvia K. Ofori; Kimberlyn M. Roosa; Lone Simonsen; Cecile G. Viboud; Isaac Chun-Hai Fung,,,,TRUE,biorxiv_medrxiv,https://doi.org/10.1101/2020.02.05.20020750
